Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute, by type), A, Current week","Hepatitis (viral, acute, by type), A, Current week, flag ","Hepatitis (viral, acute, by type), A, Previous 52 weeks Med","Hepatitis (viral, acute, by type), A, Previous 52 weeks Med, flag","Hepatitis (viral, acute, by type), A, Previous 52 weeks Max","Hepatitis (viral, acute, by type), A, Previous 52 weeks Max, flag","Hepatitis (viral, acute, by type), A, Cum 2017","Hepatitis (viral, acute, by type), A, Cum 2017, flag","Hepatitis (viral, acute, by type), A, Cum 2016","Hepatitis (viral, acute, by type), A, Cum 2016, flag","Hepatitis (viral, acute, by type), B, Current week","Hepatitis (viral, acute, by type), B, Current week, flag","Hepatitis (viral, acute, by type), B, Previous 52 weeks Med","Hepatitis (viral, acute, by type), B, Previous 52 weeks Med, flag","Hepatitis (viral, acute, by type), B, Previous 52 weeks Max","Hepatitis (viral, acute, by type), B, Previous 52 weeks Max, flag","Hepatitis (viral, acute, by type), B, Cum 2017","Hepatitis (viral, acute, by type), B, Cum 2017, flag","Hepatitis (viral, acute, by type), B, Cum 2016","Hepatitis (viral, acute, by type), B, Cum 2016, flag",Location 1,Location 2
C.N.M.I.,2017,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
IOWA,2017,14,,-,0,,2,,1,,2,,,-,0,,2,,5,,3,,"IOWA
(42.46942, -93.815856)",
NEW MEXICO,2017,14,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MISSISSIPPI,2017,14,,-,0,,0,,,-,2,,,-,1,,3,,13,,8,,"MISSISSIPPI
(32.738663, -89.537312)",
LOUISIANA,2017,14,,-,0,,1,,1,,5,,,-,1,,6,,20,,11,,"LOUISIANA
(31.2931, -92.463284)",
VIRGIN ISL.,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MID. ATLANTIC,2017,14,1,,5,,12,,56,,62,,2,,5,,10,,55,,48,,,
OKLAHOMA,2017,14,,-,0,,4,,,-,4,,2,,0,,8,,3,,4,,"OKLAHOMA
(35.468494, -97.521264)",
ILLINOIS,2017,14,,-,1,,5,,9,,18,,,-,0,,4,,5,,15,,"ILLINOIS
(40.477092, -88.993221)",
CONNECTICUT,2017,14,,-,0,,3,,3,,3,,,-,0,,2,,,-,2,,"CONNECTICUT
(41.544654, -72.651713)",
ARIZONA,2017,14,1,,1,,4,,16,,13,,,-,0,,2,,5,,7,,"ARIZONA
(34.869712, -111.760902)",
OREGON,2017,14,1,,0,,2,,10,,4,,,-,0,,3,,4,,5,,"OREGON
(44.567912, -120.156945)",
E.N. CENTRAL,2017,14,,-,5,,20,,114,,52,,6,,11,,21,,123,,200,,,
CALIFORNIA,2017,14,,-,4,,9,,34,,53,,,-,2,,7,,21,,38,,"CALIFORNIA
(37.640735, -121.002435)",
MAINE,2017,14,,-,0,,1,,,-,2,,1,,1,,3,,17,,10,,"MAINE
(45.252223, -68.986647)",
RHODE ISLAND,2017,14,,-,0,,1,,,-,3,,,U,0,,0,,,U,,U,"RHODE ISLAND
(41.707447, -71.522488)",
VIRGINIA,2017,14,,-,2,,40,,11,,19,,2,,1,,3,,20,,14,,"VIRGINIA
(37.542699, -78.45822)",
VERMONT,2017,14,,-,0,,1,,1,,1,,,-,0,,1,,,-,1,,"VERMONT
(43.622479, -72.51927)",
KENTUCKY,2017,14,,-,0,,2,,1,,,-,,-,3,,11,,57,,46,,"KENTUCKY
(37.64591, -84.774043)",
IDAHO,2017,14,1,,0,,1,,3,,,-,,-,0,,1,,3,,1,,"IDAHO
(43.680635, -114.364237)",
PENNSYLVANIA,2017,14,,-,2,,7,,16,,14,,2,,2,,6,,30,,16,,"PENNSYLVANIA
(40.789676, -77.858055)",
COLORADO,2017,14,2,,0,,3,,8,,8,,,-,0,,2,,3,,4,,"COLORADO
(38.841772, -106.132562)",
MOUNTAIN,2017,14,5,,2,,5,,34,,31,,,-,1,,4,,15,,17,,,
OHIO,2017,14,,-,0,,7,,5,,3,,6,,5,,13,,53,,100,,"OHIO
(40.056807, -82.405897)",
S. ATLANTIC,2017,14,5,,7,,55,,92,,80,,9,,21,,35,,236,,300,,,
SOUTH DAKOTA,2017,14,,-,0,,1,,,-,,-,,-,0,,0,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
GUAM,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MICHIGAN,2017,14,,-,4,,17,,93,,23,,,-,1,,8,,24,,19,,"MICHIGAN
(44.66399, -84.711206)",
PACIFIC,2017,14,1,,6,,47,,48,,61,,2,,3,,9,,35,,55,,,
NEW YORK,2017,14,,-,1,,4,,13,,12,,,-,1,,4,,7,,9,,"NEW YORK
(42.826892, -75.544286)",
MARYLAND,2017,14,,-,0,,5,,7,,6,,,-,0,,3,,7,,9,,"MARYLAND
(39.290443, -76.612333)",
NEW HAMPSHIRE,2017,14,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
KANSAS,2017,14,,-,0,,1,,1,,1,,,-,0,,3,,6,,6,,"KANSAS
(38.345528, -98.201847)",
MASSACHUSETTS,2017,14,,-,1,,4,,12,,15,,,-,0,,3,,5,,13,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW JERSEY,2017,15,,-,1,,4,,2,,25,,,-,0,,3,,5,,11,,"NEW JERSEY
(40.104655, -74.386686)",
NORTH CAROLINA,2017,15,,-,1,,5,,3,,17,,,-,2,,8,,11,,48,,"NORTH CAROLINA
(35.47995, -79.180571)",
C.N.M.I.,2017,15,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
UTAH,2017,15,,-,0,,2,,1,,4,,,-,0,,1,,2,,,-,"UTAH
(39.359772, -111.584173)",
NORTH DAKOTA,2017,15,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
MICHIGAN,2017,15,,-,3,,12,,63,,18,,,-,1,,4,,12,,15,,"MICHIGAN
(44.66399, -84.711206)",
MONTANA,2017,15,,-,0,,1,,3,,1,,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
PUERTO RICO,2017,15,,-,0,,4,,1,,,-,,-,0,,1,,,-,7,,"PUERTO RICO
(18.215692, -66.414655)",
ALASKA,2017,15,,-,0,,1,,1,,,-,,-,0,,1,,1,,4,,"ALASKA
(64.836661, -147.738891)",
KENTUCKY,2017,15,,-,0,,2,,1,,1,,2,,3,,11,,63,,48,,"KENTUCKY
(37.64591, -84.774043)",
ALABAMA,2017,15,,-,0,,2,,1,,8,,,-,1,,4,,18,,23,,"ALABAMA
(32.839182, -86.631125)",
CALIFORNIA,2017,15,,-,4,,9,,34,,57,,1,,2,,7,,24,,40,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH DAKOTA,2017,15,,-,0,,1,,,-,,-,,-,0,,0,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MASSACHUSETTS,2017,15,,-,1,,4,,12,,15,,,-,0,,3,,5,,13,,"MASSACHUSETTS
(42.268546, -72.085064)",
RHODE ISLAND,2017,15,,-,0,,1,,,-,3,,,U,0,,0,,,U,,U,"RHODE ISLAND
(41.707447, -71.522488)",
MAINE,2017,15,,-,0,,1,,,-,1,,,-,1,,3,,17,,11,,"MAINE
(45.252223, -68.986647)",
ILLINOIS,2017,15,,-,1,,5,,10,,19,,,-,0,,4,,5,,15,,"ILLINOIS
(40.477092, -88.993221)",
W.N. CENTRAL,2017,15,,-,1,,5,,4,,22,,2,,2,,7,,23,,28,,,
FLORIDA,2017,15,,-,2,,8,,31,,18,,,-,10,,17,,85,,141,,"FLORIDA
(28.915325, -81.922409)",
NEW HAMPSHIRE,2017,15,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TEXAS,2017,15,1,,2,,7,,18,,40,,,-,2,,15,,24,,22,,"TEXAS
(31.827233, -99.423022)",
WISCONSIN,2017,15,,-,0,,4,,2,,,-,,-,0,,2,,5,,5,,"WISCONSIN
(44.395526, -89.834513)",
NEW YORK,2017,15,,-,1,,4,,13,,13,,,-,1,,4,,7,,11,,"NEW YORK
(42.826892, -75.544286)",
ARIZONA,2017,15,1,,1,,4,,17,,13,,,-,0,,2,,5,,6,,"ARIZONA
(34.869712, -111.760902)",
GUAM,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH CAROLINA,2017,15,,-,0,,4,,9,,5,,,-,0,,4,,3,,11,,"SOUTH CAROLINA
(34.009286, -81.037094)",
IOWA,2017,15,,-,0,,2,,1,,2,,,-,0,,2,,5,,3,,"IOWA
(42.46942, -93.815856)",
MOUNTAIN,2017,15,3,,2,,5,,37,,34,,,-,1,,4,,16,,15,,,
NEW MEXICO,2017,15,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
TENNESSEE,2017,15,,-,0,,2,,,-,,-,2,,4,,8,,58,,59,,"TENNESSEE
(35.681402, -85.774444)",
MISSOURI,2017,15,,-,0,,2,,1,,7,,1,,1,,3,,10,,11,,"MISSOURI
(38.636168, -92.566292)",
MINNESOTA,2017,15,,-,0,,2,,,-,4,,,-,0,,2,,,-,4,,"MINNESOTA
(46.357661, -94.793397)",
UNITED STATES,2017,15,13,,32,,107,,357,,412,,10,,60,,82,,686,,941,,,
VERMONT,2017,15,,-,0,,1,,1,,1,,,-,0,,1,,,-,1,,"VERMONT
(43.622479, -72.51927)",
DELAWARE,2017,15,,-,0,,1,,1,,,-,,-,0,,1,,3,,,-,"DELAWARE
(39.008676, -75.574561)",
NEW ENGLAND,2017,15,,-,2,,5,,17,,24,,,-,2,,4,,22,,27,,,
OREGON,2017,15,,-,0,,2,,10,,4,,,-,0,,3,,6,,5,,"OREGON
(44.567912, -120.156945)",
IDAHO,2017,15,,-,0,,1,,2,,1,,,-,0,,1,,3,,1,,"IDAHO
(43.680635, -114.364237)",
PACIFIC,2017,15,,-,6,,47,,48,,66,,2,,3,,9,,40,,59,,,
NEVADA,2017,15,,-,0,,2,,3,,6,,,-,0,,2,,3,,4,,"NEVADA
(39.491833, -117.070159)",
W.S. CENTRAL,2017,15,2,,3,,8,,23,,50,,,-,4,,19,,62,,56,,,
NEBRASKA,2017,15,,-,0,,4,,1,,7,,1,,0,,2,,2,,1,,"NEBRASKA
(41.640503, -99.367122)",
WYOMING,2017,15,,-,0,,1,,1,,,-,,U,0,,0,,,U,,U,"WYOMING
(43.23558, -108.110518)",
E.N. CENTRAL,2017,15,,-,5,,13,,85,,49,,,-,12,,21,,111,,233,,,
S. ATLANTIC,2017,15,,-,7,,55,,74,,85,,1,,20,,35,,200,,327,,,
ARKANSAS,2017,15,1,,0,,3,,2,,,-,,-,1,,5,,12,,16,,"ARKANSAS
(34.748745, -92.275105)",
GEORGIA,2017,15,,-,1,,4,,8,,17,,,-,2,,7,,23,,35,,"GEORGIA
(32.836038, -83.631709)",
NEW YORK CITY,2017,15,4,,1,,6,,31,,15,,1,,1,,4,,14,,14,,,
MID. ATLANTIC,2017,15,8,,5,,12,,66,,71,,1,,5,,10,,59,,58,,,
PENNSYLVANIA,2017,15,4,,2,,7,,20,,18,,,-,2,,6,,33,,22,,"PENNSYLVANIA
(40.789676, -77.858055)",
WEST VIRGINIA,2017,15,,-,0,,4,,4,,2,,1,,4,,12,,48,,68,,"WEST VIRGINIA
(38.668501, -80.709421)",
OHIO,2017,15,,-,0,,7,,5,,3,,,-,5,,13,,52,,105,,"OHIO
(40.056807, -82.405897)",
VIRGIN ISL.,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
E.S. CENTRAL,2017,15,,-,0,,4,,3,,11,,4,,10,,18,,153,,138,,,
AMER. SAMOA,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
WASHINGTON,2017,15,,-,0,,5,,1,,3,,1,,1,,6,,9,,10,,"WASHINGTON
(47.517368, -120.467672)",
VIRGINIA,2017,15,,-,2,,40,,11,,20,,,-,1,,3,,21,,15,,"VIRGINIA
(37.542699, -78.45822)",
COLORADO,2017,15,2,,0,,3,,10,,9,,,-,0,,2,,3,,4,,"COLORADO
(38.841772, -106.132562)",
DIST. OF COL.,2017,15,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KANSAS,2017,15,,-,0,,1,,1,,2,,,-,0,,3,,6,,6,,"KANSAS
(38.345528, -98.201847)",
MARYLAND,2017,15,,-,0,,5,,7,,6,,,-,0,,3,,6,,9,,"MARYLAND
(39.290443, -76.612333)",
OKLAHOMA,2017,15,,-,0,,4,,,-,4,,,-,0,,8,,3,,4,,"OKLAHOMA
(35.468494, -97.521264)",
LOUISIANA,2017,15,,-,0,,1,,3,,6,,,-,1,,6,,23,,14,,"LOUISIANA
(31.2931, -92.463284)",
MISSISSIPPI,2017,15,,-,0,,1,,1,,2,,,-,1,,3,,14,,8,,"MISSISSIPPI
(32.738663, -89.537312)",
CONNECTICUT,2017,15,,-,0,,3,,3,,4,,,-,0,,2,,,-,2,,"CONNECTICUT
(41.544654, -72.651713)",
HAWAII,2017,15,,-,0,,39,,2,,2,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
INDIANA,2017,15,,-,0,,2,,5,,9,,,-,5,,14,,37,,93,,"INDIANA
(39.76845, -86.156212)",
SOUTH DAKOTA,2017,16,,-,0,,1,,,-,,-,,-,0,,0,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
GUAM,2017,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
UNITED STATES,2017,16,8,,32,,105,,394,,438,,19,,54,,99,,750,,882,,,
VERMONT,2017,16,,-,0,,1,,1,,1,,,-,0,,1,,,-,1,,"VERMONT
(43.622479, -72.51927)",
KANSAS,2017,16,,-,0,,1,,1,,2,,,-,0,,3,,6,,8,,"KANSAS
(38.345528, -98.201847)",
MID. ATLANTIC,2017,16,2,,4,,10,,60,,70,,6,,4,,7,,53,,51,,,
GEORGIA,2017,16,,-,1,,4,,8,,20,,,-,2,,7,,23,,35,,"GEORGIA
(32.836038, -83.631709)",
OKLAHOMA,2017,16,,-,0,,4,,,-,4,,1,,0,,21,,4,,4,,"OKLAHOMA
(35.468494, -97.521264)",
IOWA,2017,16,,-,0,,2,,1,,2,,,-,0,,2,,5,,3,,"IOWA
(42.46942, -93.815856)",
UTAH,2017,16,,-,0,,2,,4,,4,,,-,0,,1,,2,,,-,"UTAH
(39.359772, -111.584173)",
W.S. CENTRAL,2017,16,1,,3,,8,,28,,53,,3,,4,,40,,70,,60,,,
KENTUCKY,2017,16,,-,0,,2,,1,,1,,1,,3,,11,,65,,50,,"KENTUCKY
(37.64591, -84.774043)",
MARYLAND,2017,16,,-,0,,5,,7,,7,,,-,0,,3,,6,,11,,"MARYLAND
(39.290443, -76.612333)",
CONNECTICUT,2017,16,,-,0,,3,,5,,4,,,-,0,,2,,,-,2,,"CONNECTICUT
(41.544654, -72.651713)",
COLORADO,2017,16,2,,0,,3,,12,,9,,1,,0,,2,,4,,4,,"COLORADO
(38.841772, -106.132562)",
WISCONSIN,2017,16,,-,0,,4,,2,,,-,,-,0,,2,,6,,5,,"WISCONSIN
(44.395526, -89.834513)",
NEW YORK,2017,16,1,,1,,4,,14,,16,,4,,1,,4,,11,,11,,"NEW YORK
(42.826892, -75.544286)",
VIRGIN ISL.,2017,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW HAMPSHIRE,2017,16,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MOUNTAIN,2017,16,4,,2,,6,,47,,35,,1,,1,,4,,17,,17,,,
SOUTH CAROLINA,2017,16,,-,0,,4,,9,,6,,,-,0,,4,,3,,12,,"SOUTH CAROLINA
(34.009286, -81.037094)",
W.N. CENTRAL,2017,16,,-,1,,5,,4,,25,,1,,2,,7,,25,,35,,,
NEW YORK CITY,2017,16,,-,1,,6,,31,,16,,2,,1,,4,,16,,15,,,
NEW JERSEY,2017,16,,-,1,,4,,4,,26,,,-,0,,3,,5,,12,,"NEW JERSEY
(40.104655, -74.386686)",
ALASKA,2017,16,,-,0,,1,,1,,,-,,-,0,,1,,1,,4,,"ALASKA
(64.836661, -147.738891)",
NEBRASKA,2017,16,,-,0,,4,,1,,8,,,-,0,,2,,2,,3,,"NEBRASKA
(41.640503, -99.367122)",
NEVADA,2017,16,,-,0,,2,,4,,6,,,-,0,,2,,3,,6,,"NEVADA
(39.491833, -117.070159)",
OREGON,2017,16,,-,0,,2,,10,,4,,,-,0,,3,,6,,5,,"OREGON
(44.567912, -120.156945)",
C.N.M.I.,2017,16,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
HAWAII,2017,16,1,,0,,41,,3,,2,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ILLINOIS,2017,16,,-,1,,5,,11,,18,,,-,0,,3,,7,,17,,"ILLINOIS
(40.477092, -88.993221)",
ARIZONA,2017,16,2,,1,,4,,20,,14,,,-,0,,2,,5,,6,,"ARIZONA
(34.869712, -111.760902)",
NEW ENGLAND,2017,16,,-,2,,5,,21,,26,,,-,2,,4,,25,,30,,,
RHODE ISLAND,2017,16,,-,0,,1,,,-,3,,,U,0,,0,,,U,,U,"RHODE ISLAND
(41.707447, -71.522488)",
ALABAMA,2017,16,,-,0,,2,,1,,8,,,-,1,,4,,18,,23,,"ALABAMA
(32.839182, -86.631125)",
ARKANSAS,2017,16,,-,0,,3,,2,,1,,,-,1,,5,,15,,16,,"ARKANSAS
(34.748745, -92.275105)",
S. ATLANTIC,2017,16,,-,7,,56,,84,,94,,1,,21,,35,,233,,345,,,
MAINE,2017,16,,-,0,,1,,,-,1,,,-,1,,3,,18,,13,,"MAINE
(45.252223, -68.986647)",
LOUISIANA,2017,16,,-,0,,1,,3,,6,,,-,1,,6,,24,,14,,"LOUISIANA
(31.2931, -92.463284)",
WEST VIRGINIA,2017,16,,-,0,,4,,4,,2,,,-,4,,12,,50,,70,,"WEST VIRGINIA
(38.668501, -80.709421)",
PACIFIC,2017,16,1,,6,,49,,50,,78,,,-,3,,9,,42,,61,,,
DELAWARE,2017,16,,-,0,,1,,1,,,-,,-,0,,1,,3,,,-,"DELAWARE
(39.008676, -75.574561)",
OHIO,2017,16,,-,0,,1,,5,,,-,5,,0,,6,,60,,,-,"OHIO
(40.056807, -82.405897)",
MINNESOTA,2017,16,,-,0,,2,,,-,5,,,-,0,,2,,,-,5,,"MINNESOTA
(46.357661, -94.793397)",
MASSACHUSETTS,2017,16,,-,1,,4,,14,,17,,,-,0,,3,,7,,14,,"MASSACHUSETTS
(42.268546, -72.085064)",
VIRGINIA,2017,16,,-,2,,41,,11,,22,,1,,1,,3,,22,,15,,"VIRGINIA
(37.542699, -78.45822)",
TENNESSEE,2017,16,,-,0,,2,,,-,,-,1,,4,,8,,63,,64,,"TENNESSEE
(35.681402, -85.774444)",
CALIFORNIA,2017,16,,-,4,,9,,35,,69,,,-,2,,7,,26,,41,,"CALIFORNIA
(37.640735, -121.002435)",
FLORIDA,2017,16,,-,2,,8,,39,,20,,,-,10,,18,,114,,153,,"FLORIDA
(28.915325, -81.922409)",
INDIANA,2017,16,,-,0,,2,,5,,9,,,-,5,,14,,37,,100,,"INDIANA
(39.76845, -86.156212)",
WASHINGTON,2017,16,,-,0,,5,,1,,3,,,-,1,,6,,9,,11,,"WASHINGTON
(47.517368, -120.467672)",
NORTH CAROLINA,2017,16,,-,1,,5,,5,,17,,,-,2,,7,,12,,49,,"NORTH CAROLINA
(35.47995, -79.180571)",
E.N. CENTRAL,2017,16,,-,4,,14,,97,,46,,5,,8,,17,,125,,138,,,
PUERTO RICO,2017,16,,-,0,,5,,2,,,-,,-,0,,1,,1,,8,,"PUERTO RICO
(18.215692, -66.414655)",
MISSOURI,2017,16,,-,0,,2,,1,,7,,1,,1,,3,,12,,13,,"MISSOURI
(38.636168, -92.566292)",
NEW MEXICO,2017,16,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
AMER. SAMOA,2017,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MISSISSIPPI,2017,16,,-,0,,1,,1,,2,,,-,1,,3,,14,,8,,"MISSISSIPPI
(32.738663, -89.537312)",
TEXAS,2017,16,1,,2,,7,,23,,42,,2,,2,,15,,27,,26,,"TEXAS
(31.827233, -99.423022)",
NORTH DAKOTA,2017,16,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
WYOMING,2017,16,,-,0,,2,,2,,,-,,U,0,,0,,,U,,U,"WYOMING
(43.23558, -108.110518)",
E.S. CENTRAL,2017,16,,-,0,,4,,3,,11,,2,,10,,18,,160,,145,,,
MICHIGAN,2017,16,,-,3,,12,,74,,19,,,-,1,,4,,15,,16,,"MICHIGAN
(44.66399, -84.711206)",
IDAHO,2017,16,,-,0,,1,,2,,1,,,-,0,,1,,3,,1,,"IDAHO
(43.680635, -114.364237)",
MONTANA,2017,16,,-,0,,1,,3,,1,,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
PENNSYLVANIA,2017,16,1,,1,,4,,11,,12,,,-,1,,3,,21,,13,,"PENNSYLVANIA
(40.789676, -77.858055)",
DIST. OF COL.,2017,16,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MICHIGAN,2017,17,,-,3,,12,,76,,20,,1,,1,,4,,18,,16,,"MICHIGAN
(44.66399, -84.711206)",
VERMONT,2017,17,,-,0,,1,,1,,2,,,-,0,,1,,,-,1,,"VERMONT
(43.622479, -72.51927)",
AMER. SAMOA,2017,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
C.N.M.I.,2017,17,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ARIZONA,2017,17,,-,1,,4,,19,,15,,1,,0,,2,,7,,6,,"ARIZONA
(34.869712, -111.760902)",
LOUISIANA,2017,17,,-,0,,1,,3,,6,,,-,1,,6,,24,,15,,"LOUISIANA
(31.2931, -92.463284)",
NORTH CAROLINA,2017,17,,-,1,,5,,5,,17,,,-,2,,7,,12,,53,,"NORTH CAROLINA
(35.47995, -79.180571)",
MID. ATLANTIC,2017,17,3,,4,,11,,63,,71,,2,,4,,7,,56,,56,,,
INDIANA,2017,17,,-,0,,2,,5,,9,,,-,5,,14,,39,,104,,"INDIANA
(39.76845, -86.156212)",
VIRGINIA,2017,17,,-,1,,41,,11,,23,,,-,1,,3,,23,,17,,"VIRGINIA
(37.542699, -78.45822)",
S. ATLANTIC,2017,17,,-,7,,56,,100,,101,,1,,21,,35,,263,,370,,,
SOUTH CAROLINA,2017,17,,-,0,,4,,9,,6,,,-,0,,4,,3,,13,,"SOUTH CAROLINA
(34.009286, -81.037094)",
IOWA,2017,17,,-,0,,2,,3,,3,,,-,0,,2,,6,,4,,"IOWA
(42.46942, -93.815856)",
GEORGIA,2017,17,,-,1,,4,,8,,21,,,-,2,,7,,24,,37,,"GEORGIA
(32.836038, -83.631709)",
CALIFORNIA,2017,17,,-,4,,9,,43,,76,,,-,2,,8,,26,,41,,"CALIFORNIA
(37.640735, -121.002435)",
ALASKA,2017,17,,-,0,,1,,1,,,-,,-,0,,1,,1,,4,,"ALASKA
(64.836661, -147.738891)",
DIST. OF COL.,2017,17,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
RHODE ISLAND,2017,17,,-,0,,1,,,-,3,,,U,0,,0,,,U,,U,"RHODE ISLAND
(41.707447, -71.522488)",
WISCONSIN,2017,17,,-,0,,4,,2,,,-,,-,0,,2,,6,,5,,"WISCONSIN
(44.395526, -89.834513)",
MONTANA,2017,17,,-,0,,1,,3,,1,,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
W.S. CENTRAL,2017,17,2,,3,,8,,30,,58,,,-,4,,40,,71,,64,,,
PUERTO RICO,2017,17,,-,0,,5,,2,,,-,,-,0,,1,,1,,8,,"PUERTO RICO
(18.215692, -66.414655)",
WEST VIRGINIA,2017,17,,-,0,,4,,4,,2,,,-,4,,12,,54,,78,,"WEST VIRGINIA
(38.668501, -80.709421)",
DELAWARE,2017,17,,-,0,,1,,1,,,-,,-,0,,1,,3,,,-,"DELAWARE
(39.008676, -75.574561)",
OHIO,2017,17,1,,0,,7,,6,,6,,4,,5,,13,,68,,116,,"OHIO
(40.056807, -82.405897)",
E.N. CENTRAL,2017,17,1,,5,,14,,100,,53,,5,,11,,22,,138,,258,,,
KANSAS,2017,17,,-,0,,1,,1,,2,,,-,0,,3,,6,,8,,"KANSAS
(38.345528, -98.201847)",
SOUTH DAKOTA,2017,17,,-,0,,1,,,-,,-,,-,0,,0,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MISSISSIPPI,2017,17,,-,0,,1,,1,,2,,,-,1,,3,,15,,8,,"MISSISSIPPI
(32.738663, -89.537312)",
KENTUCKY,2017,17,,-,0,,2,,1,,3,,2,,3,,11,,69,,57,,"KENTUCKY
(37.64591, -84.774043)",
E.S. CENTRAL,2017,17,,-,0,,4,,4,,13,,2,,10,,18,,170,,159,,,
PENNSYLVANIA,2017,17,,-,1,,4,,11,,12,,1,,1,,3,,23,,14,,"PENNSYLVANIA
(40.789676, -77.858055)",
IDAHO,2017,17,,-,0,,1,,2,,1,,,-,0,,1,,3,,1,,"IDAHO
(43.680635, -114.364237)",
NEW YORK,2017,17,1,,1,,4,,15,,16,,,-,1,,4,,11,,12,,"NEW YORK
(42.826892, -75.544286)",
NEW YORK CITY,2017,17,2,,1,,6,,33,,16,,1,,1,,4,,17,,17,,,
UTAH,2017,17,,-,0,,2,,4,,4,,,-,0,,1,,2,,,-,"UTAH
(39.359772, -111.584173)",
CONNECTICUT,2017,17,1,,0,,3,,8,,4,,,-,0,,2,,,-,2,,"CONNECTICUT
(41.544654, -72.651713)",
NORTH DAKOTA,2017,17,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW HAMPSHIRE,2017,17,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
COLORADO,2017,17,1,,0,,3,,13,,10,,,-,0,,2,,4,,4,,"COLORADO
(38.841772, -106.132562)",
TEXAS,2017,17,2,,2,,7,,25,,47,,,-,2,,15,,27,,27,,"TEXAS
(31.827233, -99.423022)",
NEW JERSEY,2017,17,,-,1,,4,,4,,27,,,-,1,,4,,5,,13,,"NEW JERSEY
(40.104655, -74.386686)",
TENNESSEE,2017,17,,-,0,,2,,1,,,-,,-,4,,8,,64,,69,,"TENNESSEE
(35.681402, -85.774444)",
UNITED STATES,2017,17,8,,31,,103,,433,,460,,12,,58,,110,,815,,1040,,,
